Reference,Compare,KM or KNM,# Cells,# CMCs
Fadul 1-1,Fadul 1-2,KM,30,27
Fadul 1-1,Fadul 2-1,KNM,30,0
Fadul 1-1,Fadul 2-2,KNM,30,1
Fadul 1-1,Fadul 3-1,KNM,30,2
Fadul 1-1,Fadul 3-2,KNM,30,0
Fadul 1-1,Fadul 4-1,KNM,30,1
Fadul 1-1,Fadul 4-2,KNM,30,0
Fadul 1-1,Fadul 5-1,KNM,30,0
Fadul 1-1,Fadul 5-2,KNM,30,0
Fadul 1-1,Fadul 6-1,KNM,30,0
Fadul 1-1,Fadul 6-2,KNM,30,0
Fadul 1-1,Fadul 7-1,KNM,30,0
Fadul 1-1,Fadul 7-2,KNM,30,0
Fadul 1-1,Fadul 8-1,KNM,30,0
Fadul 1-1,Fadul 8-2,KNM,30,0
Fadul 1-1,Fadul 9-1,KNM,30,0
Fadul 1-1,Fadul 9-2,KNM,30,0
Fadul 1-1,Fadul 10-1,KNM,30,0
Fadul 1-1,Fadul 10-2,KNM,30,0
Fadul 1-1,Fadul A,KNM,30,0
Fadul 1-1,Fadul B,KNM,30,0
Fadul 1-1,Fadul C,KNM,30,0
Fadul 1-1,Fadul F,KM,30,30
Fadul 1-1,Fadul H,KNM,30,0
Fadul 1-1,Fadul I,KNM,30,0
Fadul 1-1,Fadul K,KNM,30,0
Fadul 1-1,Fadul L,KNM,30,0
Fadul 1-1,Fadul M,KNM,30,0
Fadul 1-1,Fadul P,KNM,30,0
Fadul 1-1,Fadul Q,KNM,30,0
Fadul 1-1,Fadul R,KNM,30,0
Fadul 1-1,Fadul X,KNM,30,0
Fadul 1-1,Fadul Y,KNM,30,1
Fadul 1-1,Fadul Z,KNM,30,0
Fadul 1-1,Fadul E,KNM,30,0
Fadul 1-1,Fadul N,KNM,30,0
Fadul 1-1,Fadul O,KNM,30,0
Fadul 1-1,Fadul S,KNM,30,0
Fadul 1-1,Fadul T,KNM,30,0
Fadul 1-2,Fadul 2-1,KNM,31,1
Fadul 1-2,Fadul 2-2,KNM,31,0
Fadul 1-2,Fadul 3-1,KNM,31,0
Fadul 1-2,Fadul 3-2,KNM,31,0
Fadul 1-2,Fadul 4-1,KNM,31,0
Fadul 1-2,Fadul 4-2,KNM,31,0
Fadul 1-2,Fadul 5-1,KNM,31,0
Fadul 1-2,Fadul 5-2,KNM,31,0
Fadul 1-2,Fadul 6-1,KNM,31,0
Fadul 1-2,Fadul 6-2,KNM,31,0
Fadul 1-2,Fadul 7-1,KNM,31,0
Fadul 1-2,Fadul 7-2,KNM,31,0
Fadul 1-2,Fadul 8-1,KNM,31,0
Fadul 1-2,Fadul 8-2,KNM,31,0
Fadul 1-2,Fadul 9-1,KNM,31,0
Fadul 1-2,Fadul 9-2,KNM,31,0
Fadul 1-2,Fadul 10-1,KNM,31,0
Fadul 1-2,Fadul 10-2,KNM,31,1
Fadul 1-2,Fadul A,KNM,31,0
Fadul 1-2,Fadul B,KNM,31,0
Fadul 1-2,Fadul C,KNM,31,0
Fadul 1-2,Fadul F,KM,31,28
Fadul 1-2,Fadul H,KNM,31,0
Fadul 1-2,Fadul I,KNM,31,0
Fadul 1-2,Fadul K,KNM,31,0
Fadul 1-2,Fadul L,KNM,31,0
Fadul 1-2,Fadul M,KNM,31,0
Fadul 1-2,Fadul P,KNM,31,0
Fadul 1-2,Fadul Q,KNM,31,0
Fadul 1-2,Fadul R,KNM,31,0
Fadul 1-2,Fadul X,KNM,31,0
Fadul 1-2,Fadul Y,KNM,31,0
Fadul 1-2,Fadul Z,KNM,31,0
Fadul 1-2,Fadul E,KNM,31,0
Fadul 1-2,Fadul N,KNM,31,0
Fadul 1-2,Fadul O,KNM,31,0
Fadul 1-2,Fadul S,KNM,31,0
Fadul 1-2,Fadul T,KNM,31,0
Fadul 2-1,Fadul 2-2,KM,32,32
Fadul 2-1,Fadul 3-1,KNM,32,0
Fadul 2-1,Fadul 3-2,KNM,32,0
Fadul 2-1,Fadul 4-1,KNM,32,1
Fadul 2-1,Fadul 4-2,KNM,32,0
Fadul 2-1,Fadul 5-1,KNM,32,0
Fadul 2-1,Fadul 5-2,KNM,32,0
Fadul 2-1,Fadul 6-1,KNM,32,0
Fadul 2-1,Fadul 6-2,KNM,32,0
Fadul 2-1,Fadul 7-1,KNM,32,0
Fadul 2-1,Fadul 7-2,KNM,32,0
Fadul 2-1,Fadul 8-1,KNM,32,0
Fadul 2-1,Fadul 8-2,KNM,32,0
Fadul 2-1,Fadul 9-1,KNM,32,0
Fadul 2-1,Fadul 9-2,KNM,32,0
Fadul 2-1,Fadul 10-1,KNM,32,0
Fadul 2-1,Fadul 10-2,KNM,32,0
Fadul 2-1,Fadul A,KNM,32,0
Fadul 2-1,Fadul B,KNM,32,0
Fadul 2-1,Fadul C,KM,32,32
Fadul 2-1,Fadul F,KNM,32,0
Fadul 2-1,Fadul H,KNM,32,0
Fadul 2-1,Fadul I,KNM,32,0
Fadul 2-1,Fadul K,KNM,32,0
Fadul 2-1,Fadul L,KNM,32,0
Fadul 2-1,Fadul M,KM,32,23
Fadul 2-1,Fadul P,KNM,32,0
Fadul 2-1,Fadul Q,KNM,32,0
Fadul 2-1,Fadul R,KNM,32,0
Fadul 2-1,Fadul X,KNM,32,0
Fadul 2-1,Fadul Y,KNM,32,0
Fadul 2-1,Fadul Z,KNM,32,0
Fadul 2-1,Fadul E,KNM,32,0
Fadul 2-1,Fadul N,KNM,32,0
Fadul 2-1,Fadul O,KNM,32,0
Fadul 2-1,Fadul S,KNM,32,0
Fadul 2-1,Fadul T,KNM,32,0
Fadul 2-2,Fadul 3-1,KNM,31,0
Fadul 2-2,Fadul 3-2,KNM,31,0
Fadul 2-2,Fadul 4-1,KNM,31,0
Fadul 2-2,Fadul 4-2,KNM,31,0
Fadul 2-2,Fadul 5-1,KNM,31,0
Fadul 2-2,Fadul 5-2,KNM,31,0
Fadul 2-2,Fadul 6-1,KNM,31,0
Fadul 2-2,Fadul 6-2,KNM,31,0
Fadul 2-2,Fadul 7-1,KNM,31,0
Fadul 2-2,Fadul 7-2,KNM,31,0
Fadul 2-2,Fadul 8-1,KNM,31,0
Fadul 2-2,Fadul 8-2,KNM,31,0
Fadul 2-2,Fadul 9-1,KNM,31,0
Fadul 2-2,Fadul 9-2,KNM,31,0
Fadul 2-2,Fadul 10-1,KNM,31,0
Fadul 2-2,Fadul 10-2,KNM,31,0
Fadul 2-2,Fadul A,KNM,31,0
Fadul 2-2,Fadul B,KNM,31,0
Fadul 2-2,Fadul C,KM,31,30
Fadul 2-2,Fadul F,KNM,31,0
Fadul 2-2,Fadul H,KNM,31,0
Fadul 2-2,Fadul I,KNM,31,0
Fadul 2-2,Fadul K,KNM,31,0
Fadul 2-2,Fadul L,KNM,31,0
Fadul 2-2,Fadul M,KM,31,25
Fadul 2-2,Fadul P,KNM,31,0
Fadul 2-2,Fadul Q,KNM,31,1
Fadul 2-2,Fadul R,KNM,31,0
Fadul 2-2,Fadul X,KNM,31,0
Fadul 2-2,Fadul Y,KNM,31,0
Fadul 2-2,Fadul Z,KNM,31,0
Fadul 2-2,Fadul E,KNM,31,0
Fadul 2-2,Fadul N,KNM,31,0
Fadul 2-2,Fadul O,KNM,31,0
Fadul 2-2,Fadul S,KNM,31,0
Fadul 2-2,Fadul T,KNM,31,0
Fadul 3-1,Fadul 3-2,KM,32,32
Fadul 3-1,Fadul 4-1,KNM,32,0
Fadul 3-1,Fadul 4-2,KNM,32,0
Fadul 3-1,Fadul 5-1,KNM,32,0
Fadul 3-1,Fadul 5-2,KNM,32,0
Fadul 3-1,Fadul 6-1,KNM,32,0
Fadul 3-1,Fadul 6-2,KNM,32,0
Fadul 3-1,Fadul 7-1,KNM,32,0
Fadul 3-1,Fadul 7-2,KNM,32,0
Fadul 3-1,Fadul 8-1,KNM,32,0
Fadul 3-1,Fadul 8-2,KNM,32,0
Fadul 3-1,Fadul 9-1,KNM,32,0
Fadul 3-1,Fadul 9-2,KNM,32,0
Fadul 3-1,Fadul 10-1,KNM,32,0
Fadul 3-1,Fadul 10-2,KNM,32,0
Fadul 3-1,Fadul A,KM,32,32
Fadul 3-1,Fadul B,KNM,32,0
Fadul 3-1,Fadul C,KNM,32,0
Fadul 3-1,Fadul F,KNM,32,0
Fadul 3-1,Fadul H,KNM,32,0
Fadul 3-1,Fadul I,KNM,32,0
Fadul 3-1,Fadul K,KNM,32,0
Fadul 3-1,Fadul L,KNM,32,0
Fadul 3-1,Fadul M,KNM,32,0
Fadul 3-1,Fadul P,KNM,32,0
Fadul 3-1,Fadul Q,KNM,32,0
Fadul 3-1,Fadul R,KNM,32,0
