Reference,Compare,KM or KNM,# Cells,# CMCs
TW01-01,TW01-02,KM,38,36
TW01-01,TW01-03,KM,38,27
TW01-01,TW01-04,KM,38,37
TW01-01,TW01-05,KM,38,36
TW01-01,TW01-06,KM,38,36
TW01-01,TW01-07,KM,38,37
TW01-01,TW01-08,KM,38,38
TW01-01,TW01-09,KM,38,37
TW01-01,TW02-01,KNM,38,0
TW01-01,TW02-02,KNM,38,0
TW01-01,TW02-03,KNM,38,0
TW01-01,TW02-04,KNM,38,0
TW01-01,TW02-05,KNM,38,0
TW01-01,TW02-06,KNM,38,0
TW01-01,TW02-07,KNM,38,0
TW01-01,TW02-08,KNM,38,0
TW01-01,TW02-09,KNM,38,0
TW01-01,TW03-01,KNM,38,0
TW01-01,TW03-02,KNM,38,0
TW01-01,TW03-03,KNM,38,0
TW01-01,TW03-04,KNM,38,0
TW01-01,TW03-05,KNM,38,0
TW01-01,TW03-06,KNM,38,0
TW01-01,TW03-07,KNM,38,0
TW01-01,TW03-08,KNM,38,0
TW01-01,TW03-09,KNM,38,0
TW01-01,TW04-01,KNM,38,0
TW01-01,TW04-02,KNM,38,0
TW01-01,TW04-03,KNM,38,0
TW01-01,TW04-04,KNM,38,0
TW01-01,TW04-05,KNM,38,0
TW01-01,TW04-06,KNM,38,0
TW01-01,TW04-07,KNM,38,0
TW01-01,TW04-08,KNM,38,0
TW01-01,TW04-09,KNM,38,0
TW01-01,TW05-01,KNM,38,0
TW01-01,TW05-02,KNM,38,0
TW01-01,TW05-03,KNM,38,0
TW01-01,TW05-04,KNM,38,0
TW01-01,TW05-05,KNM,38,0
TW01-01,TW05-06,KNM,38,0
TW01-01,TW05-07,KNM,38,0
TW01-01,TW05-08,KNM,38,0
TW01-01,TW05-09,KNM,38,0
TW01-01,TW06-01,KNM,38,0
TW01-01,TW06-02,KNM,38,0
TW01-01,TW06-03,KNM,38,0
TW01-01,TW06-04,KNM,38,0
TW01-01,TW06-05,KNM,38,0
TW01-01,TW06-06,KNM,38,0
TW01-01,TW06-07,KNM,38,0
TW01-01,TW06-08,KNM,38,0
TW01-01,TW06-09,KNM,38,0
TW01-01,TW07-01,KNM,38,0
TW01-01,TW07-02,KNM,38,0
TW01-01,TW07-03,KNM,38,0
TW01-01,TW07-04,KNM,38,0
TW01-01,TW07-05,KNM,38,0
TW01-01,TW07-06,KNM,38,0
TW01-01,TW07-07,KNM,38,0
TW01-01,TW07-08,KNM,38,0
TW01-01,TW07-09,KNM,38,0
TW01-01,TW08-01,KNM,38,0
TW01-01,TW08-02,KNM,38,0
TW01-01,TW08-03,KNM,38,0
TW01-01,TW08-04,KNM,38,0
TW01-01,TW08-05,KNM,38,0
TW01-01,TW08-06,KNM,38,0
TW01-01,TW08-07,KNM,38,0
TW01-01,TW08-08,KNM,38,0
TW01-01,TW08-09,KNM,38,0
TW01-01,TW09-01,KNM,38,0
TW01-01,TW09-02,KNM,38,0
TW01-01,TW09-03,KNM,38,0
TW01-01,TW09-04,KNM,38,0
TW01-01,TW09-05,KNM,38,0
TW01-01,TW09-06,KNM,38,0
TW01-01,TW09-07,KNM,38,0
TW01-01,TW09-08,KNM,38,0
TW01-01,TW09-09,KNM,38,0
TW01-01,TW10-01,KNM,38,0
TW01-01,TW10-02,KNM,38,0
TW01-01,TW10-03,KNM,38,0
TW01-01,TW10-04,KNM,38,0
TW01-01,TW10-05,KNM,38,0
TW01-01,TW10-06,KNM,38,0
TW01-01,TW10-07,KNM,38,0
TW01-01,TW10-08,KNM,38,0
TW01-01,TW10-09,KNM,38,0
TW01-01,TW11-01,KNM,38,0
TW01-01,TW11-02,KNM,38,0
TW01-01,TW11-03,KNM,38,0
TW01-01,TW11-04,KNM,38,0
TW01-01,TW11-05,KNM,38,0
TW01-02,TW01-03,KM,41,27
TW01-02,TW01-04,KM,41,40
TW01-02,TW01-05,KM,41,37
TW01-02,TW01-06,KM,41,36
TW01-02,TW01-07,KM,41,37
